HR.info ID,Preferred Term,Operation,Location - Taxonomy Term,"Address (free text to include building name/number, street & Postcode)",Address - Locality (i.e. City),Address - Administrative area (i.e. State / Province),Country,Generic Phone Number for site,Generic Email for site,Organization,Notes
62237,Equipo Humanitario Valle del Cauca y Cauca,77 - Colombia,,Carrera 37 # 6-28 Oficina 201  ,Cali,,49 - Colombia,"+57 2 5573696
",ochacali@un-ocha.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
65727,National Ebola Response Centre NERC - Freetown Sierra Leone,42 - Sierra Leone,Sierra Leone,"Special Court. Jomo Keniatta Rd. Freetown, Sierra Leone ",Freetown,,199 - Sierra Leone,,comunications@nerc.sl,54233 - United Nations Mission for Ebola Emergency Response,
65728,Bonthe - District Emergency Response Center (DERC) ,42 - Sierra Leone,,"Bonthe District Emergency Response Center (DERC) Old Council Building, Bo Road, Matru Jong, Bonthe, Sierra Leone ",Bonthe,,199 - Sierra Leone,,sherazm@un.org,54233 - United Nations Mission for Ebola Emergency Response,
65729,Moyamba  - District Emergency Response Center (DERC) ,42 - Sierra Leone,,"Moyamba District Ebola Response Centre, Reservation - Moyamba Sierra Leone  ",Moyamba,,199 - Sierra Leone,,nabik@un.org,54233 - United Nations Mission for Ebola Emergency Response,
65764,Pujehun - District Emergency Response Center (DERC) ,42 - Sierra Leone,Sierra Leone,"Old council Building, Council Road, Pujehun Town. sierra Leone ",Pujehun Town,,199 - Sierra Leone,,puderc26@gmail.com,54233 - United Nations Mission for Ebola Emergency Response,
66796,UN OCHA Sievierodonetsk,43184 - Ukraine,Sievierodonetsk,8 Yegorova St  93404,Sievierodonetsk,Luhans'ka oblast,233 - Ukraine,"+380 50 382 4540
",melkumyan@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
69380,UN OCHA Kyiv,43184 - Ukraine,Kyiv,"28, Instytutska Str.  1021",Kyiv,Kiev Oblast,233 - Ukraine,"Work: 
+380 44 253 3412
",OCHAUkraine@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
70256,OCHA Sierra Leone,42 - Sierra Leone,Western Area Urban,55 Wilkinson Road UNDP Compound.  ,Freetown,,199 - Sierra Leone,,,497 - United Nations Office for the Coordination of Humanitarian Affairs,
71825,Kathmandu,85 - Nepal,Nepal,UN House  ,Kathmandu,,156 - Nepal,,,497 - United Nations Office for the Coordination of Humanitarian Affairs,
72158,Deurali - Logistics Hub,85 - Nepal,Gorkha,Deurali  ,Gorkha,,156 - Nepal,,,501 - World Food Programme,
72191,Bharatpur - Staging Hub,85 - Nepal,Chitawan,Bharatpur  ,Bharatpur,,156 - Nepal,,,501 - World Food Programme,
72192,Sindipalchock - Logistics Hub,85 - Nepal,Sindhupalchok,Sindipalchock  ,Sindipalchock,,156 - Nepal,,,501 - World Food Programme,
72194,Birgunj - Logistics Hub,85 - Nepal,Parsa,Parsa  ,Parsa,,156 - Nepal,,,501 - World Food Programme,
96505,Amman,75 - Yemen,Jordan,Amman City  ,Amman,,114 - Jordan,,,497 - United Nations Office for the Coordination of Humanitarian Affairs,
96508,Djibouti,75 - Yemen,Djibouti,Djibouti City  ,Djibouti,,62 - Djibouti,,,497 - United Nations Office for the Coordination of Humanitarian Affairs,
105064,UN OCHA Kramatorsk,43184 - Ukraine,Kharkiv,TBD  63101,Kramatorsk,,233 - Ukraine,"+380 50 318 2008
",thay@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
105072,UN OCHA Luhansk,43184 - Ukraine,Luhansk,Bazysnyi Ln. 5  91011,Luhansk,,233 - Ukraine,"+380 50 327 7698
",shikhmammadov@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
105090,UN OCHA Mariupol,43184 - Ukraine,Mariupol,TBD  0,Mariupol,,233 - Ukraine,"+380 50 312 8581
",adamovych@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
107660,Baga-sola,43 - Chad,Baga-Sola,Baga-Sola  ,Baga-Sola,,44 - Chad,"Mobile: 
+235 60 43 93 30
",sengamali@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
107809,World Food Programme,2783 - Cambodia,Boeng Keng Kang Ti Muoy,"No.250, Street 63/398  ",Phnom Penh,,38 - Cambodia,"+855 23 210 943
",cambodia.hrf@wfp.org,,
113529,OCHA Humanitarian Advisory Team,2783 - Cambodia,Cameroon,"Office for the Coordination of Humanitarian Affairs (Opp. Japanese Embassy), Bastos ",Yaoundé,,39 - Cameroon,"Work: 
+237 6 90 11 72 07
",schott@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
117268,Joint Action Group for DRR (JAG),2783 - Cambodia,Cambodia,Rotating Secretariat (2016: PIN and DCA/CA)  ,Phnom Penh,,38 - Cambodia,,,,
120413,Yobe State,38 - Nigeria,Damaturu,Abba Ibrahim Estate House 131 Gujba Road ,Damaturu,Yobe,163 - Nigeria,"Work: 
+234 703 175 8922
",lubari@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
120414,Adamawa State,38 - Nigeria,Yola North,"IOM Premises, 7 Deacon Street Karewa GRA Extension, Jimeta ",Yola North,Adamawa,163 - Nigeria,"Work: 
+234 703 171 8734
",sesay26@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
120415,Borno State,38 - Nigeria,Maiduguri,No. 4 Gombole Road Opposite Capital Primary School ,Maiduguri,Borno,163 - Nigeria,"Work: 
+234 703 175 8920
",taylor6@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
121472,Education Cluster Coordination Office,109020 - Simulation/Training,,UNICEF Building Main Street 11 1101,Cleethorpe,,216 - Switzerland,,Edclustersparkea3@gmail.com,482 - Save The Children,Organization was 911 - Global Education Cluster
122113,Yaoundé Coordination Hub,28 - Cameroon,Cameroon,Central Coordination Hub  ,Yaoundé,,39 - Cameroon,,,,
122925,Southern Africa Office,45 - Southern Africa,Gauteng,Naivasha Road  2157,Johannesburg,,206 - South Africa,"Work: 
+27 11 517 0000
",,,
122926,Eastern Africa Office,45 - Southern Africa,Nairobi,UN Complex Block X  ,Nairobi,,116 - Kenya,"Work: 
+254 20 7622166
",,,
123167,OCHA Mingkaman Sub-Office,69 - South Sudan,Awerial,Humanitarian Hub Mingkaman ,Awerial County,,210 - South Sudan,"Work: 
+211 922 473 101
, Work: 
+211 922 406 015
",mukwana@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
123168,OCHA Rumbek Sub-Office,69 - South Sudan,Rumbek East,WFP Compound Airport Road ,Rumbek,,210 - South Sudan,"Work: 
+211 922 473 110
, Work: 
+211 922 473 106
",sesay26@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
125297,Portoviejo/Manta,17026 - Ecuador,Ecuador,"Av. 15 de abril, km 1.5 vía Portoviejo-Santa Ana, ECU-911 Hotel Balandra, Segundo Piso. Manta ",Portoviejo/ Manta,,65 - Ecuador,,vallejo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
125304,Pedernales,17026 - Ecuador,Ecuador,Dentro del COE de Pedernales en el centro Gerontologico  ,Pedernales,,65 - Ecuador,"Work: 
+593 98 198 6718
",matarinlopez@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
125306,Quito,17026 - Ecuador,Ecuador,Casa Naciones Unidas  ,Quito,,65 - Ecuador,,,,
126149,Bujumbura,62 - Burundi,Burundi,United Nations Office in Burundi (BNUB)  ,Bujumbura,,37 - Burundi,,,497 - United Nations Office for the Coordination of Humanitarian Affairs,
128517,Equipo Humanitario Local - Esmeraldas,17026 - Ecuador,Ecuador,-  ,Esmeraldas,,65 - Ecuador,,,,
129304,Tigray (Addis based),65 - Ethiopia,Tigray,Addis Ababa  ,Addis Ababa,,71 - Ethiopia,"+251 91 160 0391
",letyibelu@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
131384,Gombe State,38 - Nigeria,Gombe,Gombe  ,Gombe,Gombe,163 - Nigeria,"Work: 
+234 703 172 0029
",zakama@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
133429,Jeremie,78 - Haiti,Jeremie,Jeremie  ,Jeremie,,96 - Haiti,,,,
133430,Les Cayes,78 - Haiti,Les Cayes,Les Cayes  ,Les Cayes,,96 - Haiti,"Work: 
+509 37 02 5182
",elliott@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
